Germany,India,Italy,South Korea,New Zealand,Singapore,Somalia,Uganda,UK,USA
1760520,10266674,2107166,61769,2162,58599,4714,35216,2496235,20099363
1762637,10286709,2129376,62593,2162,58629,4714,35511,2549693,20252991
1773540,10323965,2141201,63244,2181,58662,4714,35712,2607546,20553301
1783896,10340469,2155446,64264,2181,58697,4714,35922,2662703,20762047
1796216,10356844,2166244,64979,2186,58721,4714,36050,2721626,20946329
1814565,10374932,2181619,65818,2186,58749,4714,36407,2782713,21181440
1841228,10395278,2201945,66686,2188,58780,4726,36702,2845269,21436884
1886561,10413417,2220361,67358,2188,58813,4726,37074,2898056,21715174
1905638,10413417,2237890,67999,2188,58836,4726,37296,2966248,22010389
1928462,10450284,2257866,68664,2219,58865,4726,37554,3026346,22271084
1929410,10466595,2276491,69114,2222,58907,4726,37742,3081372,22484332
1941116,10479179,2289021,69651,2222,58929,4726,37808,3127647,22699326
1968326,10495147,2303263,70212,2228,58946,4726,37948,3173295,22926246
1993892,10512093,2319036,70728,2228,58984,4726,38085,3220957,23156608
2015235,10527683,2336279,71241,2246,59029,4744,38085,3269761,23392315
2023828,10542841,2352423,71820,2246,59059,4744,38085,3325646,23635046
2038645,10557985,2368733,72340,2256,59083,4744,38085,3367074,23836726
2050129,10571773,2381277,72729,2262,59113,4744,38085,3405744,24014508
